Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1677],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / MESSUM COMPLEX,,-21.53,-21.53,14.1,14.1,SUBAERIAL,,,s ME6 [1677],GABBRO [1677],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [1677] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70618,,,,,,,,,,,,,,,,,,,,,101370,
[1677],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / MESSUM COMPLEX,,-21.53,-21.53,14.1,14.1,SUBAERIAL,,,s ME6 [1677],GABBRO [1677],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [1677] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70495,,,,,,,,,,,,,,,,,,,,,101371,
[1677],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / MESSUM COMPLEX,,-21.53,-21.53,14.1,14.1,SUBAERIAL,,,s ME6 [1677],GABBRO [1677],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [1677] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72519,,,,,,,,,,,,,,,,,,,,,101372,
[1677],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / MESSUM COMPLEX,,-21.53,-21.53,14.1,14.1,SUBAERIAL,,,s ME7 [1677],GABBRO [1677],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [1677] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72056,,,,,,,,,,,,,,,,,,,,,101373,
[1677],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / MESSUM COMPLEX,,-21.53,-21.53,14.1,14.1,SUBAERIAL,,,s ME8 [1677],GABBRO [1677],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [1677] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71799,,,,,,,,,,,,,,,,,,,,,101374,
[4639],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / GOBOSEB QUARTZ LATITE,GOBOSEB MOUNTAINS,-21.09,-21.57,14.01,14.38,SUBAERIAL,,,s SMG060 [4639],"LATITE, QUARTZ [4639]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4639] ,313134.70650000003,6472.872,,67797.0531,,,,55266.030000000006,24156.86,6814.351999999999,929.3496,,33621.075,22329.895699999997,1396.5472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,47,4.5,,,15,,22,93,,,,,,159,159,51.6,315,23.3,,,,,,,,,,,,,706,47.6,101,,48.1,9.09,2,8.5,1.5,,1.7,,,4.5,0.63,7.2,2.1,,,,,,,,,24,,13.7,3.6,0.512115,,,0.723028,,18.975,,15.688,,38.938,,,,,,,,,,,,,,,114778,
[4639],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / GOBOSEB QUARTZ LATITE,GOBOSEB MOUNTAINS,-21.09,-21.57,14.01,14.38,SUBAERIAL,,,s SMG059 [4639],"LATITE, QUARTZ [4639]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4639] ,313508.6545,6353.004,,67955.8284,,,,56198.79,24156.86,6633.4400000000005,929.3496,,32707.91,21958.9672,1309.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,59,3.2,,,15,2,23,79,,,,,,152,155,49.9,303,22.4,,,,,,,,,,,,,688,46.2,100,,47.8,9,1.9,8.5,1.6,,1.8,,,4.4,0.62,7.1,2.15,,,,,,,,,23,,13.7,3.6,0.512125,,,0.723778,,18.969,,15.671,,38.859,,,,,,,,,,,,,,,114779,
[4639],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / GOBOSEB QUARTZ LATITE,GOBOSEB MOUNTAINS,-21.09,-21.57,14.01,14.38,SUBAERIAL,,,s SMG058 [4639],"LATITE, QUARTZ [4639]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4639] ,316079.547,6053.334,,68114.60369999999,,,,53245.049999999996,21441,6573.136,1006.7954,,33870.12,22700.8242,1309.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,45,4.7,,,13,,18,96,,,,,,161,142,50.1,302,22.7,,,,,,,,,,,,,698,46.2,98.9,,46.9,8.65,1.9,8.45,1.5,,1.85,,,4.2,0.61,7,2.2,,,,,,,,,22,,13.9,4.1,0.512089,,,0.725288,,19.017,,15.687,,38.892,,,,,,,,,,,,,,,114780,
[4639],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / GOBOSEB QUARTZ LATITE,,-17.5,-25,15,20,SUBAERIAL,,,s SM212 [4639],"LATITE, QUARTZ [4639]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4639] ,317248.13450000004,6233.1359999999995,,69173.1057,,,,53633.700000000004,24228.33,6030.4,929.3496,,18927.42,29822.651399999995,1396.5472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,40,,,,15,,20,91,,,,,,166,156,48.8,301,25.4,,,,,,,,,,,,,735,44.7,98.7,,47.3,8.93,1.9,8.8,1.5,,1.9,,,4.4,0.61,7.1,2.6,,,,,,,,,27,,13.5,3.8,0.512181,,,0.72475,,,,,,,,,,,,,,,,,,,,,114781,
[4639],CONTINENTAL FLOOD BASALT,ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / GOBOSEB QUARTZ LATITE,,-17.5,-25,15,20,SUBAERIAL,,,s SM215 [4639],"LATITE, QUARTZ [4639]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4639] ,318697.1830000001,6113.268,,68696.7798,,,,52156.83,24013.92,6211.312,929.3496,,16187.925,32270.779499999997,1352.9051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,42,1.9,,,14,,20,93,,,,,,160,156,44.2,298,22.9,,,,,,,,,,,,,739,47,99,,57,,,,,,,,,,,,,,,,,,,,,25,,14.9,,0.512189,,,0.72502,,,,,,,,,,,,,,,,,,,,,114783,
